,Country,Group,Year,Host,PastGroup,DifficultGroup,RankFIFA,QualiStreak,Caps,eliteClub,Age
0,Denmark,A,2002-01-01,0,1,1,0.2111111111111111,0.05,0.1693069306930693,0.3888888888888889,0.49715071380819603
1,France,A,2002-01-01,0,0,1,0.0,0.05,0.49504950495049493,0.8333333333333334,0.6839136969027488
2,Senegal,A,2002-01-01,0,1,1,0.45555555555555555,0.0,0.028712871287128697,0.0,0.19751745821362238
3,Uruguay,A,2002-01-01,0,0,1,0.25555555555555554,0.0,0.14356435643564355,0.2777777777777778,0.35724727185690647
4,Spain,B,2002-01-01,0,1,0,0.07777777777777778,0.3,0.033663366336633686,0.4444444444444444,0.4491655222945973
5,Slovenia,B,2002-01-01,0,0,0,0.26666666666666666,0.0,0.34752475247524744,0.1111111111111111,0.6943291461696677
6,Paraguay,B,2002-01-01,0,1,0,0.18888888888888888,0.05,0.401980198019802,0.1111111111111111,0.6194319087332919
7,South Africa,B,2002-01-01,0,0,0,0.4,0.05,0.13861386138613857,0.16666666666666666,0.45767973399582323
8,Brazil,C,2002-01-01,0,1,0,0.011111111111111112,0.8,0.2613861386138614,0.3333333333333333,0.5092694594328939
9,Turkey,C,2002-01-01,0,1,0,0.23333333333333334,0.0,0.34158415841584155,0.16666666666666666,0.6723083303006788
10,China,C,2002-01-01,0,0,0,0.5444444444444444,0.0,,,
11,Costa Rica,C,2002-01-01,0,0,0,0.3111111111111111,0.0,0.5316831683168316,0.05555555555555555,0.44197641556339895
12, South Korea,D,2002-01-01,1,1,0,,,,,
13,Poland,D,2002-01-01,0,0,0,0.4111111111111111,0.0,0.21089108910891086,0.05555555555555555,0.728839488649967
14,United States,D,2002-01-01,0,1,0,0.13333333333333333,0.15,0.7643564356435641,0.05555555555555555,0.7323154886438087
15,Portugal,D,2002-01-01,0,0,0,0.044444444444444446,0.0,0.36930693069306925,0.5,0.7667431164353282
16,Germany,E,2002-01-01,0,1,0,0.1111111111111111,0.55,0.16732673267326734,0.5,0.6862123302760479
17,Saudi Arabia,E,2002-01-01,0,0,0,0.36666666666666664,0.1,0.7198019801980197,0.0,0.4442624982220908
18,Republic of Ireland,E,2002-01-01,0,1,0,0.15555555555555556,0.0,0.38514851485148516,0.1111111111111111,0.5122712459397081
19,Cameroon,E,2002-01-01,0,0,0,0.17777777777777778,0.15,0.2712871287128713,0.2222222222222222,0.2148590493431218
20,Argentina,F,2002-01-01,0,0,1,0.022222222222222223,0.35,0.5455445544554455,0.2777777777777778,0.7872083742960222
21,Nigeria,F,2002-01-01,0,0,1,0.28888888888888886,0.1,0.01782178217821786,0.2777777777777778,0.0
22,England,F,2002-01-01,0,1,1,0.12222222222222222,0.05,0.16732673267326734,0.6111111111111112,0.28576101075366805
23,Sweden,F,2002-01-01,0,1,1,0.2,0.0,0.24455445544554455,0.16666666666666666,0.5937112935374437
24,Italy,G,2002-01-01,0,1,0,0.05555555555555555,0.5,0.24059405940594056,0.7777777777777778,0.6190862291758938
25,Ecuador,G,2002-01-01,0,0,0,0.3888888888888889,0.0,0.40297029702970294,0.0,0.643943402174134
26,Croatia,G,2002-01-01,0,0,0,0.2222222222222222,0.05,0.25049504950495044,0.2222222222222222,0.5671700286012796
27,Mexico,G,2002-01-01,0,1,0,0.06666666666666667,0.1,0.5277227722772276,0.0,0.6428095847067713
28,Japan,H,2002-01-01,1,1,0,0.34444444444444444,0.05,0.10495049504950496,0.05555555555555555,0.3027768834415139
29,Belgium,H,2002-01-01,0,1,0,0.24444444444444444,0.25,0.16633663366336632,0.05555555555555555,0.8182552674970868
30,Russia,H,2002-01-01,0,0,0,0.3,0.0,0.32079207920792074,0.1111111111111111,0.5428254779297785
31,Tunisia,H,2002-01-01,0,0,0,0.3333333333333333,0.05,0.33366336633663357,0.05555555555555555,0.5639185846363441
32,Germany,A,2006-01-01,1,1,0,0.2,0.65,0.3564356435643564,0.5,0.5286659234869296
33,Ecuador,A,2006-01-01,0,1,0,0.4222222222222222,0.05,0.4148514851485148,0.0,0.5405342549576169
34,Poland,A,2006-01-01,0,0,0,0.3111111111111111,0.05,0.16534653465346533,0.05555555555555555,0.5773491278205742
