"","Country","Group","Year","Host","PastGroup","DifficultGroup","MedianAge","MedianCaps","FifaRanking","eliteTeamPlayers"
"1","Denmark","A","2002","0","1","1",NA,NA,NA,NA
"2","France","A","2002","0","0","1",NA,NA,NA,NA
"3","Senegal","A","2002","0","1","1",NA,NA,NA,NA
"4","Uruguay","A","2002","0","0","1",NA,NA,NA,NA
"5","Spain","B","2002","0","1","0",NA,NA,NA,NA
"6","Slovenia","B","2002","0","0","0",NA,NA,NA,NA
"7","Paraguay","B","2002","0","1","0",NA,NA,NA,NA
"8","South Africa","B","2002","0","0","0",NA,NA,NA,NA
"9","Brazil","C","2002","0","1","0",NA,NA,NA,NA
"10","Turkey","C","2002","0","1","0",NA,NA,NA,NA
"11","China","C","2002","0","0","0",NA,NA,NA,NA
"12","Costa Rica","C","2002","0","0","0",NA,NA,NA,NA
"13"," South Korea","D","2002","1","1","0",NA,NA,NA,NA
"14","Poland","D","2002","0","0","0",NA,NA,NA,NA
"15","United States","D","2002","0","1","0",NA,NA,NA,NA
"16","Portugal","D","2002","0","0","0",NA,NA,NA,NA
"17","Germany","E","2002","0","1","0",NA,NA,NA,NA
"18","Saudi Arabia","E","2002","0","0","0",NA,NA,NA,NA
"19","Republic of Ireland","E","2002","0","1","0",NA,NA,NA,NA
"20","Cameroon","E","2002","0","0","0",NA,NA,NA,NA
"21","Argentina","F","2002","0","0","1",NA,NA,NA,NA
"22","Nigeria","F","2002","0","0","1",NA,NA,NA,NA
"23","England","F","2002","0","1","1",NA,NA,NA,NA
"24","Sweden","F","2002","0","1","1",NA,NA,NA,NA
"25","Italy","G","2002","0","1","0",NA,NA,NA,NA
"26","Ecuador","G","2002","0","0","0",NA,NA,NA,NA
"27","Croatia","G","2002","0","0","0",NA,NA,NA,NA
"28","Mexico","G","2002","0","1","0",NA,NA,NA,NA
"29","Japan","H","2002","1","1","0",NA,NA,NA,NA
"30","Belgium","H","2002","0","1","0",NA,NA,NA,NA
"31","Russia","H","2002","0","0","0",NA,NA,NA,NA
"32","Tunisia","H","2002","0","0","0",NA,NA,NA,NA
"33","Germany","A","2006","1","1","0",NA,NA,NA,NA
"34","Ecuador","A","2006","0","1","0",NA,NA,NA,NA
"35","Poland","A","2006","0","0","0",NA,NA,NA,NA
"36","Costa Rica","A","2006","0","0","0",NA,NA,NA,NA
"37","England","B","2006","0","1","0",NA,NA,NA,NA
"38","Sweden","B","2006","0","1","0",NA,NA,NA,NA
"39","Paraguay","B","2006","0","0","0",NA,NA,NA,NA
"40","Trinidad and Tobago","B","2006","0","0","0",NA,NA,NA,NA
"41","Argentina","C","2006","0","1","1",NA,NA,NA,NA
"42","Netherlands","C","2006","0","1","1",NA,NA,NA,NA
"43","Ivory Coast","C","2006","0","0","1",NA,NA,NA,NA
"44","Serbia and Montenegro","C","2006","0","0","1",NA,NA,NA,NA
"45","Portugal","D","2006","0","1","0",NA,NA,NA,NA
"46","Mexico","D","2006","0","1","0",NA,NA,NA,NA
"47","Angola","D","2006","0","0","0",NA,NA,NA,NA
"48","Iran","D","2006","0","0","0",NA,NA,NA,NA
"49","Italy","E","2006","0","1","0",NA,NA,NA,NA
"50","Ghana","E","2006","0","1","0",NA,NA,NA,NA
"51","Czech republic","E","2006","0","0","0",NA,NA,NA,NA
"52","United States","E","2006","0","0","0",NA,NA,NA,NA
