,2022,22,al,amp,argentina,breakingnews,copa,cup,da,days,del,doha,du,el,en,es,est,fans,fifa,fifa22,fifaworldcup,fifaworldcupes,fifaworldcupqatar2022,final,football,goal,la,le,los,lusail,match,messi,mundial,new,nft,para,players,qatar,qatar2022,que,ready,se,soccer,stadium,team,time,win,world,worldcup,worldcup2022
0,2.711054756238184e-06,6.861330924458383e-06,1.0000095989241338,9.561740993129754e-06,3.0352672487140655e-06,7.624921476756153e-06,8.104138697569728e-06,2.7285540176888038e-06,4.3056175593291474e-06,5.36451452056723e-06,5.57765837999248e-06,1.8896603911321065e-06,7.277488521414024e-06,9.81104905342697e-06,7.35060394457727e-06,1.0559343160619119e-06,6.416922297892435e-06,8.531748539660635e-06,7.118116861958067e-06,7.032478742630285e-06,1.0000094378090383,7.117519531506444e-06,1.221015369111622e-07,7.972950990217878e-06,8.687942829671715e-06,7.039169789567868e-06,6.346574123068899e-06,5.746376249179961e-06,2.5187305630949275e-06,4.5075423302931865e-06,7.305252136483821e-06,4.259691465109672e-06,6.974457614587639e-06,7.143406108897729e-06,2.438428875015392e-06,8.850050471557685e-06,1.7051800637751815e-06,7.165409187385519e-07,1.0000008208162123,3.937712527738035e-06,6.924432209739565e-06,1.1550398433258891e-06,4.834735869394639e-06,2.0000029562481667,5.853130328209251e-06,1.5751692427451592e-06,3.7306810061243037e-07,9.100768281983914e-06,3.063766502738442e-06,4.9715828259254694e-08
1,3.210810917549123e-06,3.6487904876287115e-06,3.433110007707945e-06,5.287673119741708e-06,3.203176410048521e-06,2.7179886056428427e-06,1.5081241675192182e-06,5.926974741069846e-06,6.268661045714271e-06,4.183095232594146e-06,2.4456401022688956e-06,6.15432686900544e-06,4.5766314045822305e-06,2.00000686491253,1.0000002465663198,1.0000025066809939,5.998205556543297e-06,8.179852093549481e-06,7.454112366587623e-06,2.2880208667279978e-06,5.200928743750766e-07,5.325667107961951e-07,2.0755532604141626e-06,5.10612905589255e-07,9.881093549619397e-06,5.552274578476609e-06,5.810149992787219e-06,4.0147391968421213e-07,2.850766652853508e-06,4.405874090128698e-06,1.809062344152116e-06,5.480625623527082e-06,4.4053910845469805e-06,3.4646503197109604e-07,6.611685889935727e-06,5.364339860344644e-06,8.156161311154543e-06,8.485265032670295e-06,3.421864421309734e-06,1.0000077789151371,3.9708197509738575e-06,2.9072386459743786e-06,5.340224741607111e-06,2.7501037223878825e-06,7.78110239824301e-06,7.456932428598052e-07,9.169677387064697e-06,2.097028512808086e-06,8.658437596845194e-06,8.016564492481234e-06
2,9.668579818094499e-06,6.944443116671947e-06,6.215416132960408e-06,1.773233552346092e-06,7.892043052650846e-06,1.0000030929537658,4.649555564244928e-06,6.6381775782487e-06,2.811652931818465e-06,4.4985824354256005e-06,5.393091297266036e-06,3.0743530570284696e-06,3.36709767438412e-06,4.647757169015314e-06,9.873020112511845e-07,4.107051766353043e-07,3.2070284327128165e-06,3.730965075695325e-07,1.4163631310848158e-06,3.930552481215375e-06,1.8519250425410095e-06,1.3717447109487026e-06,4.85676740694389e-06,6.980697171090851e-06,9.066262243402797e-06,4.550852135479553e-06,7.567150267615541e-06,7.410944010274906e-06,9.87323528434101e-06,8.833272598730496e-06,6.651052581905341e-06,3.754511367206458e-06,4.743561066466185e-06,8.801232712197371e-06,5.776813700212213e-06,4.0591016295162764e-06,5.118568008913563e-06,3.512068058271252e-06,4.014937535454105e-06,3.0713239295136908e-06,3.182924206003617e-06,8.978058504299332e-06,7.811075019852177e-07,5.62673881812694e-06,2.821780062013575e-06,9.842384307472493e-06,2.76661939897791e-07,8.27093342047624e-06,9.761249108616136e-06,8.006964020290564e-07
3,3.017534763321107e-06,4.436601159495526e-06,8.155771639802557e-07,1.864404544310372e-06,7.628626156608278e-06,5.096422464856809e-06,4.5040034701913546e-06,1.0000075750734465,9.443113653485246e-06,2.8106099852758316e-06,1.9632653503501285e-06,4.750226331365104e-07,6.800464151835871e-06,2.5834593373952265e-06,7.833285524927363e-06,6.1514517806356265e-06,2.3859220829194794e-06,8.163183341753544e-06,1.0000088910132314,8.159817692444512e-06,3.10649999293e-06,5.271907314737834e-07,3.7397144918376615e-06,6.393531605760946e-06,2.0529713281280793e-06,2.916164777996311e-06,3.426593292690922e-06,1.967577634185539e-06,8.087242836008054e-06,6.069417722137721e-06,3.918568793225909e-06,7.557299056604288e-06,2.7091338117905972e-06,8.882372699040008e-06,4.3239698362889215e-07,4.337774497250601e-06,2.1514356580295037e-06,1.5085364453068296e-06,4.475960075902086e-07,7.060619805189353e-06,7.376067005455006e-06,4.587132466333155e-07,1.308907088854211e-06,1.8396247871030193e-06,3.3946388297216856e-08,5.704000001986032e-07,3.2437220944187674e-06,1.000009481929946,3.07109720073729e-06,9.740358528454736e-06
4,8.42973265274166e-06,1.0000075162410536,3.293195226308934e-06,2.0964901862221466e-06,6.599410200871338e-06,5.1563114016418666e-06,6.221744099804471e-06,8.915893346575087e-06,9.560936232969785e-06,8.076489123893755e-06,8.80762174042037e-06,3.0622552369771153e-06,3.210698902028402e-06,6.617989185197744e-06,5.259855608376264e-06,9.603579963288792e-06,2.8463786281656724e-06,9.676671855422784e-06,8.227570366343668e-06,9.519204492745604e-06,8.27606327640481e-06,9.738516331046751e-06,1.7810294292194363e-06,2.9427787079163803e-06,1.016632643785912e-06,1.5620353661159383e-06,8.109388102354204e-06,2.656123278519573e-06,8.420032147344183e-06,4.6297076644388695e-06,5.930979597965391e-06,9.53912100360736e-06,3.329849688618535e-06,4.4487161867679975e-06,4.494098332920922e-06,3.983072024506804e-06,1.597469290295044e-06,7.529144864299366e-06,3.3718393288465167e-06,5.307813371153155e-06,4.015551057177673e-06,1.4259109962225048e-06,2.287080211401185e-06,3.6695637851457754e-06,4.832425322399703e-07,2.4453328243104056e-06,8.921550638986271e-06,8.472438914570532e-06,8.946191518278365e-06,6.8776510519139365e-06
5,1.8985293104174552e-06,4.603336991009415e-06,1.2583610208061026e-06,4.219227396660737e-06,5.701114347698374e-06,5.44992855957042e-06,7.204597676063739e-06,9.208030964579646e-06,8.373181352597804e-06,9.332873016312272e-07,7.42543801908593e-06,1.8109790202290867e-06,8.935431536219842e-06,7.768158199286922e-06,1.0891978261690062e-06,7.831006405304579e-06,2.9798410574112147e-07,1.2147176038803376e-06,9.496929952019132e-06,6.901817008880179e-06,2.587576155703101e-06,4.555371332228561e-06,5.538910696037571e-06,7.93100368356261e-07,6.37744198173965e-06,9.780400665984089e-06,2.950537095979811e-06,1.4611759362341327e-06,6.331374992532819e-06,3.891978238115146e-06,6.9482183045798476e-06,2.950669545241801e-06,2.6768353348941144e-06,9.376133468991033e-07,5.1722429299908765e-06,8.685138695363018e-06,3.15884586527755e-06,8.109452277215235e-06,2.3933282699858286e-06,8.016270423064918e-06,6.350023737927613e-07,6.535794365370597e-06,1.6812330387863408e-06,2.726395219668412e-06,5.888863197522425e-06,3.107212396329091e-06,8.49564550035813e-06,9.267547118004745e-06,5.719299677205453e-06,4.759938379814793e-06
6,1.0000004778063913,2.190666198850947e-06,1.3424356253156689e-06,9.342319668648792e-06,5.117518948089961e-07,8.4095913763255e-06,1.1412541677271438e-06,2.8127098380036923e-06,8.884588683461763e-06,1.0000006307141198,7.663419223129787e-06,9.383246323486828e-07,6.774302376359802e-06,1.7640632786455325e-06,8.416951468443977e-06,3.06650745244883e-06,5.84770501458404e-06,3.5836050718669846e-06,6.7286984837436705e-06,8.248278758258333e-06,1.0000057521926005,4.031862071365442e-06,8.21526095044066e-06,1.0126543757825668e-06,8.101747187975857e-06,8.658642481487002e-06,6.237434461129406e-06,5.638749959091492e-06,2.545068261759024e-06,3.752983922965039e-06,7.445685814076182e-06,6.077360313893319e-06,3.1777850729224146e-06,2.446452288470563e-06,6.747732195278556e-06,9.09472266782311e-06,1.0000008775152622,4.916740122201809e-06,4.0907285308455655e-06,4.96891176245975e-06,4.114645953456799e-06,1.8435791341393949e-07,9.826908667824953e-06,6.251338721569443e-06,7.121720195884306e-06,3.890967027693683e-06,9.93218725848669e-06,6.179627173677032e-06,9.301327116423236e-06,6.312961896293631e-06
7,7.530833510637485e-06,2.1050579793633764e-06,6.936899348975595e-06,4.372062129052918e-06,9.578311086219849e-06,7.383819768383505e-07,1.2456917793609603e-06,3.533542217230328e-06,7.591897588073627e-07,5.708582864100417e-06,5.234164425676713e-06,3.338234094793287e-06,8.450335860323587e-06,2.670423222764096e-07,7.761499892536118e-07,8.125714528365563e-06,5.224403525342042e-06,7.4637712016279915e-06,8.641063643176221e-06,9.189374324636024e-06,2.000006157282967,9.28022641117023e-06,7.302668915367793e-06,6.918487800900412e-06,2.833944459056431e-06,9.609359737711821e-08,6.299408723143236e-06,1.0168067810711324e-06,6.159368713871361e-07,9.443664815178558e-06,5.583026259878655e-06,7.118894118698749e-07,4.0461810160425385e-07,9.711492896695492e-06,2.4805669876120573e-06,6.2768573135121395e-06,7.0293070512074765e-06,8.838978771893618e-06,7.382150603633307e-06,2.8233784477609018e-06,2.3411691477158484e-06,7.034358093109112e-06,4.5121253988481514e-06,7.74232647652313e-06,3.189637095050272e-06,1.3707797355619146e-06,2.67024964943568e-06,8.94274139974416e-06,7.513788736465833e-07,4.007011204509049e-06
8,2.369131352155467e-06,5.911746290751076e-06,5.87264985320104e-06,3.8835644021742004e-07,1.4257552686761767e-07,7.821374851268818e-06,9.757316241996875e-06,6.328526746532144e-06,8.807034221575883e-07,2.908651535378859e-06,5.59610623295897e-06,6.656424421702261e-06,6.30130564441076e-06,7.91730361896026e-06,3.225400237832761e-06,1.4334954819733126e-06,1.0410311282580288e-06,8.51624387383856e-06,3.3238384528184862e-06,5.2512264928529535e-06,7.084443295647565e-06,7.705493627697067e-06,8.658293547980578e-06,8.98173500344208e-06,9.706847058115458e-06,2.194561576654538e-06,9.590582650655399e-06,5.846082832088544e-06,3.264429312856767e-06,3.507130685842951e-06,1.745506580300117e-06,5.619737512759158e-06,5.83252580649103e-06,3.036740477558705e-06,1.0000060475646413,5.4437516522974905e-06,2.7226705155491197e-07,3.1999007226705582e-06,5.863871953846392e-06,3.5646755944886056e-06,9.780198153098521e-06,5.077131380415131e-06,1.5297302554427183e-07,5.257928136730548e-06,9.851229624501956e-07,8.829478632900203e-06,3.6241251878611896e-06,9.935151896864214e-06,8.924658716526073e-06,5.719289428085523e-06
9,1.2240066054015952e-06,6.325941331390576e-06,8.180823294912514e-06,7.139899919840061e-06,6.9814726369612454e-06,7.974760725771232e-06,4.119030612967283e-06,6.783320778375879e-07,1.978877648163843e-06,2.955391291961809e-06,5.2565198543408094e-06,4.251487721967141e-06,5.549707382239081e-06,1.0000030837826834,2.2762304278454306e-06,8.758873982258065e-06,6.581294035949697e-06,8.87435954940124e-06,6.684153496397494e-06,9.523885189874354e-06,1.0000061369858455,8.017605787195294e-06,8.311216718724018e-06,5.746658768415903e-06,9.291353377508746e-06,7.257515642779597e-06,9.399439732027334e-06,1.9279058562431987e-06,4.873717226432484e-06,9.201288442835183e-06,1.0441675488485515e-07,4.857552559807542e-06,1.000001865278471,2.3985021601592682e-06,1.4097742068694576e-06,1.0000074191810269,3.528928108812025e-06,2.2310985945544363e-06,1.000003508145416,2.1239994377269758e-07,9.39098656416635e-06,8.86619570037744e-06,9.640523830642377e-06,3.7671183278600085e-07,7.937301524337488e-06,2.1421453170868966e-07,3.070496579127755e-06,4.661512257617462e-08,5.993332745134307e-06,4.939747938037371e-06
10,1.7243341495960853e-06,5.054464427396395e-06,9.622637031251348e-06,6.184254462644228e-06,1.8443000815612733e-06,9.60384248992309e-06,1.6379559752550055e-06,1.0000025712265865,1.1937886321114478e-07,5.664143498653885e-06,2.418607517075244e-06,1.567258161558982e-07,8.926681967958803e-06,2.054472051088192e-06,9.300429598311412e-06,5.784195186958369e-06,7.327637273237844e-06,7.263103910537539e-07,1.00000450303938,6.8863467771302425e-06,2.8922463883132533e-06,1.693167652634553e-07,9.861154733656934e-06,5.8199422155204114e-06,1.0000026378263376,9.307087151325166e-06,5.571759346106634e-06,2.8725490182889705e-06,1.0114704982708001e-06,1.4640955468215667e-06,1.4047205950527586e-06,7.263365144694974e-06,6.701362945560686e-06,8.473584226281326e-06,6.3509816610097715e-06,9.864851082334583e-06,1.0000095714725399,5.620136720831364e-06,3.197840709326041e-06,4.204671425521959e-06,5.622412309358142e-06,1.988522558302908e-06,1.32826451987221e-06,5.860932935095933e-06,7.381592967197481e-06,2.148839530832215e-06,8.872681826905937e-06,1.000004029252047,4.018380714963705e-06,9.141471885944473e-06
