"","Team","RankFIFA","QualiStreak","Year"
"1","Japan",32,2,"2002"
"2","South Korea",40,5,"2002"
"3","France",1,2,"2002"
"4","Cameroon",17,4,"2002"
"5","South Africa",37,2,"2002"
"6","Tunisia",31,2,"2002"
"7","Senegal",42,1,"2002"
"8","Nigeria",27,3,"2002"
"9","Argentina",3,8,"2002"
"10","Poland",38,1,"2002"
"11","Sweden",19,1,"2002"
"12","Spain",8,7,"2002"
"13","Costa Rica",29,1,"2002"
"14","Russia",28,1,"2002"
"15","Portugal",5,1,"2002"
"16","Denmark",20,2,"2002"
"17","Croatia",21,2,"2002"
"18","Italy",6,11,"2002"
"19","England",12,2,"2002"
"20","China",50,1,"2002"
"21","United States",13,4,"2002"
"22","Saudi Arabia",34,3,"2002"
"23","Ecuador",36,1,"2002"
"24","Paraguay",18,2,"2002"
"25","Mexico",7,3,"2002"
"26","Belgium",23,6,"2002"
"27","Germany",11,12,"2002"
"28","Slovenia",25,1,"2002"
"29","Turkey",22,1,"2002"
"30","Brazil",2,17,"2002"
"31","Republic of Ireland",15,1,"2002"
"32","Uruguay",24,1,"2002"
"33","Germany",19,14,"2006"
"34","Japan",18,3,"2006"
"35","Saudi Arabia",34,4,"2006"
"36","South Korea",29,6,"2006"
"37","Iran",23,1,"2006"
"38","Argentina",9,9,"2006"
"39","Ukraine",45,NA,"2006"
"40","United States",5,5,"2006"
"41","Brazil",1,18,"2006"
"42","Mexico",4,4,"2006"
"43","Ghana",48,NA,"2006"
"44","Togo",61,NA,"2006"
"45","England",10,3,"2006"
"46","Poland",29,2,"2006"
"47","Angola",57,NA,"2006"
"48","Ivory Coast",32,NA,"2006"
"49","Tunisia",21,3,"2006"
"50","Croatia",23,3,"2006"
"51","Sweden",16,2,"2006"
"52","Netherlands",3,1,"2006"
"53","Italy",13,12,"2006"
"54","Portugal",7,2,"2006"
"55","Costa Rica",26,2,"2006"
"56","Ecuador",39,2,"2006"
"57","Paraguay",33,3,"2006"
"58","Serbia and Montenegro",44,1,"2006"
"59","France",8,3,"2006"
"60","Australia",42,1,"2006"
"61","Trinidad and Tobago",47,NA,"2006"
"62","Czech Republic",2,1,"2006"
"63","Spain",5,8,"2006"
"64","Switzerland",35,1,"2006"
"65","South Africa",85,1,"2010"
"66","Japan",40,4,"2010"
"67","Australia",24,2,"2010"
"68","South Korea",48,7,"2010"
"69","Netherlands",3,2,"2010"
"70","North Korea",91,1,"2010"
"71","Brazil",1,19,"2010"
"72","Ghana",38,2,"2010"
"73","England",7,4,"2010"
"74","Spain",2,9,"2010"
"75","Paraguay",21,4,"2010"
"76","Ivory Coast",19,2,"2010"
"77","Germany",5,15,"2010"
"78","Denmark",27,1,"2010"
"79","Serbia",20,2,"2010"
"80","Italy",4,13,"2010"
"81","Chile",17,1,"2010"
"82","Mexico",18,5,"2010"
"83","United States",11,6,"2010"
"84","Switzerland",13,2,"2010"
"85","Slovakia",33,1,"2010"
"86","Argentina",6,10,"2010"
"87","Honduras",35,1,"2010"
"88","New Zealand",83,1,"2010"
"89","Nigeria",32,1,"2010"
"90","Cameroon",14,1,"2010"
"91","Algeria",29,1,"2010"
"92","Greece",16,1,"2010"
"93","Slovenia",49,1,"2010"
"94","Portugal",10,3,"2010"
"95","France",9,4,"2010"
"96","Uruguay",25,1,"2010"
"97","Brazil",11,20,"2014"
"98","Japan",44,5,"2014"
"99","Australia",57,3,"2014"
"100","Iran",49,1,"2014"
"101","South Korea",56,8,"2014"
"102","Netherlands",8,3,"2014"
"103","Italy",9,14,"2014"
"104","Costa Rica",31,1,"2014"
"105","United States",13,7,"2014"
"106","Argentina",3,11,"2014"
"107","Belgium",5,1,"2014"
"108","Switzerland",7,3,"2014"
"109","Germany",2,16,"2014"
"110","Colombia",4,1,"2014"
"111","Bosnia and Herzegovina",16,1,"2014"
"112","Russia",19,1,"2014"
"113","England",10,5,"2014"
"114","Spain",1,10,"2014"
"115","Chile",12,2,"2014"
"116","Ecuador",22,1,"2014"
"117","Honduras",34,2,"2014"
"118","Nigeria",33,2,"2014"
"119","Ivory Coast",17,3,"2014"
"120","Cameroon",59,2,"2014"
"121","Ghana",23,3,"2014"
"122","Algeria",32,2,"2014"
"123","Greece",15,2,"2014"
"124","Croatia",18,1,"2014"
"125","Portugal",14,4,"2014"
"126","France",21,5,"2014"
"127","Mexico",24,6,"2014"
"128","Uruguay",6,2,"2014"
"129","Russia",70,2,"2018"
"130","Brazil",2,21,"2018"
"131","Iran",37,2,"2018"
"132","Japan",61,6,"2018"
"133","Mexico",15,7,"2018"
"134","Belgium",3,2,"2018"
"135","South Korea",57,9,"2018"
"136","Saudi Arabia",67,1,"2018"
"137","Germany",1,17,"2018"
"138","England",12,6,"2018"
"139","Spain",10,11,"2018"
"140","Nigeria",48,3,"2018"
"141","Costa Rica",23,2,"2018"
"142","Poland",8,1,"2018"
"143","Egypt",45,1,"2018"
"144","Iceland",22,1,"2018"
"145","Serbia",34,1,"2018"
"146","Portugal",4,5,"2018"
"147","France",7,6,"2018"
"148","Uruguay",14,3,"2018"
"149","Argentina",5,12,"2018"
"150","Colombia",16,2,"2018"
"151","Panama",55,1,"2018"
"152","Senegal",27,1,"2018"
"153","Morocco",41,1,"2018"
"154","Tunisia",21,1,"2018"
"155","Switzerland",6,4,"2018"
"156","Croatia",20,2,"2018"
"157","Sweden",24,1,"2018"
"158","Denmark",12,1,"2018"
"159","Australia",36,4,"2018"
"160","Peru",11,1,"2018"
