text,label,sentiment
south korea japan selected host fifa 31 may 1996 initially south korea japan mexico presented three rival bid south korea entry race seen response bid political sporting rival japan fifa leader split favor host politics within world governing body held sway mexico regarded long shot battle host tournament came south korea japan,FIFA Qatar,0.0258
two asian rival went massive expensive pr blitz around world prompting sultan ahmad shah head asian football confederation step fifa bos jo havelange long backed japanese bid rival fifa uefa chief lennart johansson sought undermine havelange plan uefa afc viewed co hosting two asian rival best option south korea japan finally faced choice world cup shared world cup reluctantly chose go along co hosting south korea japan chosen unanimously co host preference mexico,FIFA Qatar,0.6249
first world cup hosted one country second 2026 world cup hosted united state mexico canada also first ever world cup hosted asia upcoming 2022 fifa world cup twenty year later general secretary south korea bidding committee song young shik stated fifa interested staging match north korea order aid korean reunification ruled time decision made japan never qualified world cup final although japanese subsequently qualify 1998 competition country awarded world cup without previously competed final tournament italy 1934 qatar 2022 uruguay hosted first world cup 1930 prior tournament defending olympic champion 1928 unusual choice host proved issue football fan europe used watching international match close time zone,FIFA Qatar,0.9246
199 team attempted qualify 2002 world cup qualification process began preliminary draw held tokyo december 1999 defending champion france co host south korea japan qualified automatically play qualification match final world cup defending champion qualified automatically 14 place contested uefa team europe five caf team africa four conmebol team south america four afc team asia three concacaf team north central america caribbean remaining two place decided playoff afc uefa conmebol ofc oceania,FIFA Qatar,0.8807
four nation qualified final first time china ecuador senegal slovenia 2022 last occasion republic ireland turkey china qualified fifa world cup final well last time australia switzerland failed qualify turkey qualified first time since 1954 poland portugal qualified first time since 1986 costa rica uruguay qualified first time since 1990 sweden russia republic ireland also returned missing 1998 world cup 1998 semi finalist netherlands three time participant 1990s romania colombia bulgaria morocco norway participated previous two final tournament alongside iran participated latest edition failed qualify south korea set record appearing fifth successive final tournament first nation outside europe america achieve feat,FIFA Qatar,-0.6808
fifa organising committee announced eight seeded team 28 november 2001 historic tradition seed host japan south korea holder france upheld remaining five seed granted five top six team ranked result last three fifa world cup ratio fifa world ranking position last month past three year equal ratio draw 32 team allocated four pot eight top seeded team allocated pot would drawn selected first position eight group playing group stage remaining 24 unseeded team allocated three pot based geographical section 11 european team pot two asian team three south american team pot three north american team five african team pot general principle draw one team pot eight group although special combined procedure pot pot due comprising le eight team sixteen team total time draw also needed respect geographical limitation group could feature one team confederation except european team limitation maximum two per group finally special limitation also stipulated evenly distribute presence team confederation group playing respectively korea group japan group china political consideration could drawn one group playing korea,FIFA Qatar,0.9062
draw took place busan exhibition convention center south korea televised live december 2001 world cup draw 2002 rt fifa organising committee decided ahead draw place defending champion france group co host south korea japan placed respectively group group procedure draw comprised following six step pot used draw alphabetic group order remaining five top seeded team first position group respecting restriction one two south american seed brazil argentina play group played south korea play group played japan pot used draw one european team eight group drawing unrestricted alphabetic order per fifa rule allowing maximum two european team group remaining three european team pot subject second draw put either four group containing top seeded south american team asian team done first drawing european team pot drawing seeded opponent european team paired special bowl four blue ball containing name brazil argentina japan south korea pot used draw one team five group empty third slot drawing alphabetical order respecting geographical restriction none unseeded south american team ecuador paraguay uruguay pot could drawn group seeded south american team brazil argentina,FIFA Qatar,0.9666
draw resulted following eight group group team played three match one team victory granted point draw equal point completion group stage best two team group advanced round 16 knockout stage way group winner started meeting runner one group format identical tournament structure used 1998 total 64 game played including final bronze medal game two semifinale loser,FIFA Qatar,0.9382
group involved defending champion france along senegal uruguay denmark world cup started defeat france playing without injured zinedine zidane tournament newcomer senegal tournament opening match held seoul south korea next day two goal jon dahl tomasson gave dane victory uruguay ulsan second set group match france held draw busan uruguay star striker thierry henry sent daegu denmark senegal drew defeat denmark last group game incheon sealed france elimination world cup,FIFA Qatar,0.2401
group saw co host south korea poland united state portugal square south korea poland started group play busan south korea earned first ever world cup victory defeating poland united state shocked group favorite portugal suwon next day defeating beto goal goal jeff agoos fully claw back american lead goal john brien brian mcbride along jorge costa goal south korea united state faced daegu excellent goalkeeping brad friedel lee woon jae resulted draw hat trick pauleta gave portuguese comfortable win poland jeonju final round group game south korea eliminated portugal incheon thanks 70th minute goal park ji sung finishing game victor poland defeated united state daejeon gain consolation victory,FIFA Qatar,0.9716
group saw germany play saudi arabia republic ireland cameroon ireland cameroon started group play big swan stadium niigata draw germany thrashed saudi arabia sapporo dome kashima soccer stadium ibaraki germany held lead republic ireland thanks 19th minute goal miroslav klose draw due sensational 92nd minute equaliser robbie keane saudi arabia bowed tournament defeat cameroon saitama stadium 2002 thanks second half goal samuel eto final match group germany sent cameroon tournament winning shizuoka stadium goal marco bode miroslav klose ireland defeated saudi arabia international stadium yokohama goal robbie keane gary breen damien duff,FIFA Qatar,0.7845
group nicknamed group death featuring argentina nigeria england sweden argentina opening game ibaraki nigeria thanks second half goal gabriel batistuta saitama england sweden drew thanks goal sol campbell niclas alexandersson sweden nigeria faced kobe two goal henrik larsson eliminated nigeria meanwhile sapporo england argentina first world cup win south american rival since 1966 thanks penalty captain david beckham sent argentina beaten england round 16 four year earlier saint tienne final match group england nigeria drew osaka sweden argentina drew miyagi,FIFA Qatar,0.4215
group saw italy ecuador croatia mexico play niigata saw start group game mexico winning croatia thanks penalty converted cuauht moc blanco later night sapporo italy defeated newcomer ecuador ease goal scored christian vieri italy croatia faced day later ibaraki croatia pulled surprise victory next day saw mexico earn vital victory ecuador miyagi,FIFA Qatar,0.8126
group saw co host japan square belgium russia tunisia japan earned first world cup point draw belgium saitama russia earned victory tunisia kobe japan would get first ever world cup victory day later yokohama defeating russia second half goal junichi inamoto belgium tunisia drew ita final match group japan defeated tunisia winning osaka belgium survived russia shizuoka winning japan group seven point belgium advanced five point,FIFA Qatar,0.7506
round 16 germany beat paraguay late goal oliver neuville seogwipo england defeated denmark niigata goal occurring first half game sweden senegal faced ita finished regular time took golden goal henri camara extra time settle game senegal spain republic ireland played suwon spain led match late penalty kick scored robbie keane made match go extra time spain emerged victorious penalty shoot united state beat concacaf rival mexico jeonju brian mcbride landon donovan scoring goal,FIFA Qatar,-0.743
