,Team,Qualified as,Qualification date,Appearancein finals,ConsecutiveStreak,Previous best performance,FIFARanking1,Year
0,South Africa,Host,,3rd,1 (Last: 2002),"Group Stage (1998, 2002)",85,2010
1,Japan,AFC Fourth Round Group A Runners-Up,,4th,4,Round of 16 (2002),40,2010
2,Australia,AFC Fourth Round Group A Winners,,3rd,2,Round of 16 (2006),24,2010
3,South Korea,AFC Fourth Round Group B Winners,,8th,7,Fourth Place (2002),48,2010
4,Netherlands,UEFA Group 9 Winners,,9th,2,"Runners-Up (1974, 1978)",3,2010
5,North Korea,AFC Fourth Round Group B Runners-Up,,2nd,1 (Last: 1966),Quarter-finals (1966),91,2010
6,Brazil,CONMEBOL Winners,,19th,19,"Winners (1958, 1962, 1970, 1994, 2002)",1,2010
7,Ghana,CAF Third Round Group D Winners,,2nd,2,Round of 16 (2006),38,2010
8,England,UEFA Group 6 Winners,,13th,4,Winners (1966),7,2010
9,Spain,UEFA Group 5 Winners,,13th,9,Fourth Place (1950),2,2010
10,Paraguay,CONMEBOL Third Place,,8th,4,"Round of 16 (1986, 1998, 2002)",21,2010
11,Ivory Coast,CAF Third Round Group E Winners,,2nd,2,Group Stage (2006),19,2010
12,Germany,UEFA Group 4 Winners,,17th2,15,"Winners (1954, 1974, 1990)",5,2010
13,Denmark,UEFA Group 1 Winners,,4th,1 (Last: 2002),Quarter-finals (1998),27,2010
14,Serbia,UEFA Group 7 Winners,,11th3,2,"Fourth Place (1930, 1962)4",20,2010
15,Italy,UEFA Group 8 Winners,,17th,13,"Winners (1934, 1938, 1982, 2006)",4,2010
16,Chile,CONMEBOL Runners-Up,,8th,1 (Last: 1998),Third Place (1962),17,2010
17,Mexico,CONCACAF Fourth Round Runners-Up,,14th,5,"Quarter-finals (1970, 1986)",18,2010
18,United States,CONCACAF Fourth Round Winners,,9th,6,Third Place (19306),11,2010
19,Switzerland,UEFA Group 2 Winners,,9th,2,"Quarter-finals (1934, 1938, 1954)",13,2010
20,Slovakia,UEFA Group 3 Winners,,1st5,1,,33,2010
21,Argentina,CONMEBOL Fourth Place,,15th,10,"Winners (1978, 1986)",6,2010
22,Honduras,CONCACAF Fourth Round Third Place,,2nd,1 (Last: 1982),Group Stage (1982),35,2010
23,New Zealand,OFC v AFC Play-off Winners,,2nd,1 (Last: 1982),Group Stage (1982),83,2010
24,Nigeria,CAF Third Round Group B Winners,,4th,1 (Last: 2002),"Round of 16 (1994, 1998)",32,2010
25,Cameroon,CAF Third Round Group A Winners,,6th,1 (Last: 2002),Quarter-finals (1990),14,2010
26,Algeria,CAF Third Round Group C Winners,,3rd,1 (Last: 1986),"Group Stage (1982, 1986)",29,2010
27,Greece,UEFA Play-off Winners,,2nd,1 (Last: 1994),Group Stage (1994),16,2010
28,Slovenia,UEFA Play-off Winners,,2nd,1 (Last: 2002),Group Stage (2002),49,2010
29,Portugal,UEFA Play-off Winners,,5th,3,Third Place (1966),10,2010
30,France,UEFA Play-off Winners,,13th,4,Winners (1998),9,2010
31,Uruguay,CONMEBOL v CONCACAF Play-off Winners,,11th,1 (Last: 2002),"Winners (1930, 1950)",25,2010
