,No.,Pos.,Player,Date of birth (age),Caps,Club,Year
0,1,GK,Hugo Lloris,26 December 1986,11,Lyon,2010
1,2,DF,Bacary Sagna,14 February 1983,20,Arsenal,2010
2,3,DF,Eric Abidal,11 September 1979,48,Barcelona,2010
3,4,DF,Anthony Réveillère,10 November 1979,6,Lyon,2010
4,5,DF,William Gallas,17 August 1977,81,Arsenal,2010
5,6,DF,Marc Planus,7 March 1982,1,Bordeaux,2010
6,7,MF,Franck Ribéry,7 April 1983,45,Bayern Munich,2010
7,8,MF,Yoann Gourcuff,11 July 1986,20,Bordeaux,2010
8,9,FW,Djibril Cissé,12 August 1981,39,Panathinaikos,2010
9,10,FW,Sidney Govou,27 July 1979,46,Lyon,2010
10,11,FW,André-Pierre Gignac,5 December 1985,13,Toulouse,2010
11,12,FW,Thierry Henry (c),17 August 1977,121,Barcelona,2010
12,13,DF,Patrice Evra,15 May 1981,30,Manchester United,2010
13,14,MF,Jérémy Toulalan,10 September 1983,34,Lyon,2010
14,15,MF,Florent Malouda,13 June 1980,54,Chelsea,2010
15,16,GK,Steve Mandanda,28 March 1985,13,Marseille,2010
16,17,DF,Sébastien Squillaci,11 August 1980,20,Sevilla,2010
17,18,MF,Alou Diarra,15 July 1981,25,Bordeaux,2010
18,19,MF,Abou Diaby,11 May 1986,5,Arsenal,2010
19,20,MF,Mathieu Valbuena,28 September 1984,2,Marseille,2010
20,21,FW,Nicolas Anelka,14 March 1979,67,Chelsea,2010
21,22,DF,Gaël Clichy,26 July 1985,4,Arsenal,2010
22,23,GK,Cédric Carrasso,30 December 1981,0,Bordeaux,2010
0,1,GK,Óscar Pérez,1 February 1973,52,Chiapas,2010
1,2,DF,Francisco Rodríguez,20 October 1981,48,PSV Eindhoven,2010
2,3,DF,Carlos Salcido,2 April 1980,73,PSV Eindhoven,2010
3,4,DF,Rafael Márquez,13 February 1979,91,Barcelona,2010
4,5,DF,Ricardo Osorio,30 March 1980,76,VfB Stuttgart,2010
5,6,MF,Gerardo Torrado,30 April 1979,114,Cruz Azul,2010
6,7,MF,Pablo Barrera,21 June 1987,21,UNAM,2010
7,8,MF,Israel Castro,29 December 1980,31,UNAM,2010
8,9,FW,Guillermo Franco,3 November 1976,21,West Ham United,2010
9,10,FW,Cuauhtémoc Blanco (c),17 January 1973,115,Veracruz,2010
10,11,FW,Carlos Vela,1 March 1989,28,Arsenal,2010
11,12,DF,Paul Aguilar,6 March 1986,10,Pachuca,2010
12,13,GK,Guillermo Ochoa,13 July 1985,37,América,2010
13,14,FW,Javier Hernández,1 June 1988,12,Guadalajara,2010
14,15,DF,Héctor Moreno,17 January 1988,10,AZ,2010
15,16,DF,Efraín Juárez,22 February 1988,19,UNAM,2010
16,17,FW,Giovani dos Santos,11 May 1989,26,Galatasaray,2010
17,18,MF,Andrés Guardado,28 September 1986,56,Deportivo La Coruña,2010
18,19,DF,Jonny Magallón,21 November 1981,52,Guadalajara,2010
19,20,DF,Jorge Torres Nilo,16 January 1988,8,Atlas,2010
20,21,FW,Adolfo Bautista,15 May 1979,37,Guadalajara,2010
21,22,MF,Alberto Medina,29 May 1983,56,Guadalajara,2010
22,23,GK,Luis Ernesto Michel,21 July 1979,4,Guadalajara,2010
0,1,GK,Moeneeb Josephs,19 May 1980,17,Orlando Pirates,2010
1,2,DF,Siboniso Gaxa,6 April 1984,37,Mamelodi Sundowns,2010
2,3,DF,Tsepo Masilela,5 May 1985,31,Maccabi Haifa,2010
3,4,DF,Aaron Mokoena (c),25 November 1980,101,Portsmouth,2010
4,5,DF,Anele Ngcongca,20 October 1987,5,Genk,2010
5,6,MF,MacBeth Sibaya,25 November 1977,58,Rubin Kazan,2010
6,7,MF,Lance Davids,11 April 1985,22,Ajax Cape Town,2010
7,8,MF,Siphiwe Tshabalala,25 September 1984,48,Kaizer Chiefs,2010
8,9,FW,Katlego Mphela,29 November 1984,31,Mamelodi Sundowns,2010
9,10,MF,Steven Pienaar,17 March 1982,50,Everton,2010
10,11,MF,Teko Modise,22 December 1982,52,Orlando Pirates,2010
11,12,MF,Reneilwe Letsholonyane,9 June 1982,13,Kaizer Chiefs,2010
12,13,MF,Kagisho Dikgacoi,24 November 1984,37,Fulham,2010
13,14,DF,Matthew Booth,14 March 1977,27,Mamelodi Sundowns,2010
14,15,DF,Lucas Thwala,19 October 1981,24,Orlando Pirates,2010
15,16,GK,Itumeleng Khune,20 June 1987,27,Kaizer Chiefs,2010
