,Team,Method ofqualification,Date ofqualification,Totaltimesqualified,Lasttimequalified,Currentconsecutiveappearances,Previous bestperformance,Year,RankFIFA
0,Russia,Hosts,2-Dec-10,11[a],2014,2,Fourth place (1966),2018,70
1,Brazil,CONMEBOL winners,28-Mar-17,21,2014,21,"Winners (1958, 1962, 1970, 1994, 2002)",2018,2
2,Iran,AFC third round Group A winners,12-Jun-17,5,2014,2,"Group stage (1978, 1998, 2006, 2014)",2018,37
3,Japan,AFC third round Group B winners,31-Aug-17,6,2014,6,"Round of 16 (2002, 2010)",2018,61
4,Mexico,CONCACAF fifth round winners,1-Sep-17,16,2014,7,"Quarter-finals (1970, 1986)",2018,15
5,Belgium,UEFA Group H winners,3-Sep-17,13,2014,2,Fourth place (1986),2018,3
6,South Korea,AFC third round Group A runners-up,5-Sep-17,10,2014,9,Fourth place (2002),2018,57
7,Saudi Arabia,AFC third round Group B runners-up,5-Sep-17,5,2006,1,Round of 16 (1994),2018,67
8,Germany,UEFA Group C winners,5-Oct-17,19[b],2014,17,"Winners (1954, 1974, 1990, 2014)",2018,1
9,England,UEFA Group F winners,5-Oct-17,15,2014,6,Winners (1966),2018,12
10,Spain,UEFA Group G winners,6-Oct-17,15,2014,11,Winners (2010),2018,10
11,Nigeria,CAF third round Group B winners,7-Oct-17,6,2014,3,"Round of 16 (1994, 1998, 2014)",2018,48
12,Costa Rica,CONCACAF fifth round runners-up,7-Oct-17,5,2014,2,Quarter-finals (2014),2018,23
13,Poland,UEFA Group E winners,8-Oct-17,8,2006,1,"Third place (1974, 1982)",2018,8
14,Egypt,CAF third round Group E winners,8-Oct-17,3,1990,1,"First round (1934), group stage (1990)",2018,45
15,Iceland,UEFA Group I winners,9-Oct-17,1,–,1,–,2018,22
16,Serbia,UEFA Group D winners,9-Oct-17,12[c],2010,1,"Fourth place (1930, 1962)",2018,34
17,Portugal,UEFA Group B winners,10-Oct-17,7,2014,5,Third place (1966),2018,4
18,France,UEFA Group A winners,10-Oct-17,15,2014,6,Winners (1998),2018,7
19,Uruguay,CONMEBOL runners-up,10-Oct-17,13,2014,3,"Winners (1930, 1950)",2018,14
20,Argentina,CONMEBOL third place,10-Oct-17,17,2014,12,"Winners (1978, 1986)",2018,5
21,Colombia,CONMEBOL fourth place,10-Oct-17,6,2014,2,Quarter-finals (2014),2018,16
22,Panama,CONCACAF fifth round third place,10-Oct-17,1,–,1,–,2018,55
23,Senegal,CAF third round Group D winners,10-Nov-17,2,2002,1,Quarter-finals (2002),2018,27
24,Morocco,CAF third round Group C winners,11-Nov-17,5,1998,1,Round of 16 (1986),2018,41
25,Tunisia,CAF third round Group A winners,11-Nov-17,5,2006,1,"Group stage (1978, 1998, 2002, 2006)",2018,21
26,Switzerland,UEFA second round winners,12-Nov-17,11,2014,4,"Quarter-finals (1934, 1938, 1954)",2018,6
27,Croatia,UEFA second round winners,12-Nov-17,5,2014,2,Third place (1998),2018,20
28,Sweden,UEFA second round winners,13-Nov-17,12,2006,1,Runners-up (1958),2018,24
29,Denmark,UEFA second round winners,14-Nov-17,5,2010,1,Quarter-finals (1998),2018,12
30,Australia,CONCACAF v AFC play-off winners,15-Nov-17,5,2014,4,Round of 16 (2006),2018,36
31,Peru,OFC v CONMEBOL play-off winners,15-Nov-17,5,1982,1,"Quarter-finals (1970), second round (1978)[d]",2018,11
