text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT mk2club FIFAWorldCup fever is on Combine FIFA with a Web3 sportsbetting casino blockchaintechnologyWhat kind of Chemical reac,FALSE,0,NA,9/14/22 22:20,FALSE,NA,1.57018E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yuiwincityx07x,1180,TRUE,FALSE,NA,NA
Where are our FIFAWorldCup Fans?Did you know we have 32 - 2/2Tonys themed after the upcoming World Cup?Mint ,FALSE,0,NA,9/14/22 22:20,TRUE,NA,1.57018E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",themunchiemafia,0,FALSE,FALSE,NA,NA
Deporfans Qué opinan de las declaraciones de Moisés Muñoz sobre Ochoa Aquí las declaracionesQatar2022 ,FALSE,0,NA,9/14/22 22:17,TRUE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Deportrece,0,FALSE,FALSE,NA,NA
RT neymarjr It is time to rock your world qatarairways is ready to take you on a journey of a lifetime to the biggest show on earth,FALSE,0,NA,9/14/22 22:16,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KruzelSvetlana,478,TRUE,FALSE,NA,NA
RT neymarjr It is time to rock your world qatarairways is ready to take you on a journey of a lifetime to the biggest show on earth,FALSE,0,NA,9/14/22 22:11,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Gudson118,478,TRUE,FALSE,NA,NA
See the greatest football at home or on the goDownload the CSport app from your mobile app store or log in via ,FALSE,0,NA,9/14/22 22:10,TRUE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CSportMedia,0,FALSE,FALSE,NA,NA
RT SomosCocaCola Se viene el Tour del Trofeo la de Copa Mundial de la FIFA por Coca-Cola La IMCC en compañía de la FMF y DeporteCDM,FALSE,0,NA,9/14/22 22:09,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SuperTato69,16,TRUE,FALSE,NA,NA
RT hatamdaddy1980 Carlos Queiroz after he arrives in Tehran I feel like Im back home This is the best feeling I can have I hope tha,FALSE,0,NA,9/14/22 22:06,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",fan_fuji,13,TRUE,FALSE,NA,NA
 No les pareció la lista del Tata Martino Aquí las fuertes declaracionesQatar2022 SeleccionMexicano ,FALSE,0,NA,9/14/22 22:05,TRUE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Deportrece,0,FALSE,FALSE,NA,NA
Champions League records set during Wednesday nights matches breakingnews bbcnews bbc ,FALSE,0,NA,9/14/22 22:04,TRUE,NA,1.57017E+18,NA,"<a href=""https://sammyskshop.com/"" rel=""nofollow"">sammysk</a>",sammyskshop,0,FALSE,FALSE,NA,NA
RT FIFAWorldCup How well do you think you know the 1994 FIFAWorldCupTest out your knowledge on FIFA ,FALSE,0,NA,9/14/22 22:00,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sinya10rakuten,34,TRUE,FALSE,NA,NA
RT PlaymakerChiliz Will FIFAWorldCup  be a bullish event for Chiliz? CHZ  POR   ARG 1/12  ,FALSE,0,NA,9/14/22 21:58,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Chiliz_BR,21,TRUE,FALSE,NA,NA
RT neymarjr It is time to rock your world qatarairways is ready to take you on a journey of a lifetime to the biggest show on earth,FALSE,0,NA,9/14/22 21:57,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",marardgs_,478,TRUE,FALSE,NA,NA
RT fifaworldcupes Imperdible GaryLineker y JKlinsmann reaccionan al gol del siglo de Diego Maradona FIFAWorldCup El episodio en,FALSE,0,NA,9/14/22 21:56,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AdriMork,533,TRUE,FALSE,NA,NA
RT mk2club FIFAWorldCup fever is on Combine FIFA with a Web3 sportsbetting casino blockchaintechnologyWhat kind of Chemical reac,FALSE,0,NA,9/14/22 21:52,FALSE,NA,1.57017E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",keirgunnyyxx,1180,TRUE,FALSE,NA,NA
